Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,Pelham - Throgs Neck,6.12
Asthma and the Environment,Crotona -Tremont,6.28
Asthma and the Environment,High Bridge - Morrisania,6.12
Asthma and the Environment,Hunts Point - Mott Haven,6.36
Asthma and the Environment,Greenpoint,7.04
Asthma and the Environment,Downtown - Heights - Slope,6.69
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,6.2
Asthma and the Environment,East New York,6.02
Asthma and the Environment,Sunset Park,6.47
Asthma and the Environment,Borough Park,5.94
Asthma and the Environment,East Flatbush - Flatbush,5.97
Asthma and the Environment,Canarsie - Flatlands,5.69
Asthma and the Environment,Bensonhurst - Bay Ridge,5.93
Asthma and the Environment,Coney Island - Sheepshead Bay,5.7
Asthma and the Environment,Williamsburg - Bushwick,6.72
Asthma and the Environment,Washington Heights,6.29
Asthma and the Environment,Central Harlem - Morningside Heights,6.35
Asthma and the Environment,East Harlem,6.37
Asthma and the Environment,Upper West Side,6.35
Asthma and the Environment,Upper East Side,6.72
Asthma and the Environment,Chelsea - Clinton,8.5
Asthma and the Environment,Gramercy Park - Murray Hill,8.18
Asthma and the Environment,Greenwich Village - SoHo,8.22
Asthma and the Environment,Union Square - Lower East Side,7.76
Asthma and the Environment,Lower Manhattan,7.42
Asthma and the Environment,Long Island City - Astoria,6.83
Asthma and the Environment,West Queens,6.56
Asthma and the Environment,Flushing - Clearview,6.24
Asthma and the Environment,Bayside - Little Neck,6
Asthma and the Environment,Ridgewood - Forest Hills,6.11
Asthma and the Environment,Fresh Meadows,5.95
Asthma and the Environment,Southwest Queens,5.91
Asthma and the Environment,Jamaica,5.97
Asthma and the Environment,Southeast Queens,5.78
Asthma and the Environment,Rockaways,5.33
Asthma and the Environment,Port Richmond,5.93
Asthma and the Environment,Stapleton - St. George,5.7
Asthma and the Environment,Willowbrook,5.62
Asthma and the Environment,South Beach - Tottenville,5.34
Asthma and the Environment,Kingsbridge - Riverdale,6.565820909
Asthma and the Environment,Northeast Bronx,6.493489505
Asthma and the Environment,Fordham - Bronx Pk,6.58259927
Asthma and the Environment,Pelham - Throgs Neck,6.597621828
Asthma and the Environment,Crotona -Tremont,6.794969345
Asthma and the Environment,High Bridge - Morrisania,6.629757249
Asthma and the Environment,Hunts Point - Mott Haven,6.979984447
Asthma and the Environment,Greenpoint,7.670414078
Asthma and the Environment,Downtown - Heights - Slope,7.09930316
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,6.605377793
Asthma and the Environment,East New York,6.549541035
Asthma and the Environment,Sunset Park,6.989881539
Asthma and the Environment,Borough Park,6.43137482
Asthma and the Environment,East Flatbush - Flatbush,6.436576312
Asthma and the Environment,Canarsie - Flatlands,6.266817392
Asthma and the Environment,Bensonhurst - Bay Ridge,6.431367091
Asthma and the Environment,Coney Island - Sheepshead Bay,6.270061176
Asthma and the Environment,Williamsburg - Bushwick,7.247995672
Asthma and the Environment,Washington Heights,6.863263918
Asthma and the Environment,Central Harlem - Morningside Heights,6.782473216
Asthma and the Environment,East Harlem,6.788910431
Asthma and the Environment,Upper West Side,6.799980284
Asthma and the Environment,Upper East Side,7.018751653
Asthma and the Environment,Chelsea - Clinton,8.44115285
Asthma and the Environment,Gramercy Park - Murray Hill,8.154833608
Asthma and the Environment,Greenwich Village - SoHo,8.224712887
Asthma and the Environment,Union Square - Lower East Side,7.795986752
Asthma and the Environment,Lower Manhattan,7.581538553
Asthma and the Environment,Long Island City - Astoria,7.195535359
Asthma and the Environment,West Queens,7.136551972
Asthma and the Environment,Flushing - Clearview,6.451618915
Asthma and the Environment,Bayside - Little Neck,6.290971464
Asthma and the Environment,Ridgewood - Forest Hills,6.543910861
Asthma and the Environment,Fresh Meadows,6.265314982
Asthma and the Environment,Southwest Queens,6.297781718
Asthma and the Environment,Jamaica,6.429082861
Asthma and the Environment,Southeast Queens,6.229557151
Asthma and the Environment,Rockaways,5.919665546
Asthma and the Environment,Port Richmond,6.366716674
Asthma and the Environment,Stapleton - St. George,6.249466758
Asthma and the Environment,Willowbrook,6.178614542
Asthma and the Environment,South Beach - Tottenville,6.043162387
Asthma and the Environment,Kingsbridge - Riverdale,23.67
Asthma and the Environment,Northeast Bronx,26.82
Asthma and the Environment,Fordham - Bronx Pk,24.47
Asthma and the Environment,Pelham - Throgs Neck,26.72
Asthma and the Environment,Crotona -Tremont,23.08
Asthma and the Environment,High Bridge - Morrisania,22.64
Asthma and the Environment,Hunts Point - Mott Haven,25.23
Asthma and the Environment,Greenpoint,25.56
Asthma and the Environment,Downtown - Heights - Slope,23.08
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,24.33
Asthma and the Environment,East New York,26.28
Asthma and the Environment,Sunset Park,24.63
Asthma and the Environment,Borough Park,25.54
Asthma and the Environment,East Flatbush - Flatbush,25.47
Asthma and the Environment,Canarsie - Flatlands,28.97
Asthma and the Environment,Bensonhurst - Bay Ridge,26.86
Asthma and the Environment,Coney Island - Sheepshead Bay,29.64
Asthma and the Environment,Williamsburg - Bushwick,24.76
Asthma and the Environment,Washington Heights,21.82
Asthma and the Environment,Central Harlem - Morningside Heights,21.52
Asthma and the Environment,East Harlem,22.84
Asthma and the Environment,Upper West Side,21.31
Asthma and the Environment,Upper East Side,20.87
Asthma and the Environment,Chelsea - Clinton,18.19
Asthma and the Environment,Gramercy Park - Murray Hill,16.13
Asthma and the Environment,Greenwich Village - SoHo,20.56
Asthma and the Environment,Union Square - Lower East Side,21.16
Asthma and the Environment,Lower Manhattan,18.88
Asthma and the Environment,Long Island City - Astoria,26.08
Asthma and the Environment,West Queens,25.7
Asthma and the Environment,Flushing - Clearview,26.29
Asthma and the Environment,Bayside - Little Neck,26.29
Asthma and the Environment,Ridgewood - Forest Hills,25.58
Asthma and the Environment,Fresh Meadows,25.43
Asthma and the Environment,Southwest Queens,26.48
Asthma and the Environment,Jamaica,26.14
Asthma and the Environment,Southeast Queens,27.59
Asthma and the Environment,Rockaways,33.59
Asthma and the Environment,Port Richmond,24.42
Asthma and the Environment,Stapleton - St. George,26.48
Asthma and the Environment,Willowbrook,26.04
Asthma and the Environment,South Beach - Tottenville,27.77
Asthma and the Environment,Kingsbridge - Riverdale,31.91
Asthma and the Environment,Northeast Bronx,33.96
Asthma and the Environment,Fordham - Bronx Pk,32.53
Asthma and the Environment,Pelham - Throgs Neck,34.31
Asthma and the Environment,Crotona -Tremont,31.63
Asthma and the Environment,High Bridge - Morrisania,31.25
Asthma and the Environment,Hunts Point - Mott Haven,33.34
Asthma and the Environment,Greenpoint,32.54
Asthma and the Environment,Downtown - Heights - Slope,30.94
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,32.27
Asthma and the Environment,East New York,33.97
Asthma and the Environment,Sunset Park,32.71
Asthma and the Environment,Borough Park,33.38
Asthma and the Environment,East Flatbush - Flatbush,33.33
Asthma and the Environment,Canarsie - Flatlands,36.12
Asthma and the Environment,Bensonhurst - Bay Ridge,34.5
Asthma and the Environment,Coney Island - Sheepshead Bay,36.52
Asthma and the Environment,Williamsburg - Bushwick,32.38
Asthma and the Environment,Washington Heights,30.54
Asthma and the Environment,Central Harlem - Morningside Heights,29.75
Asthma and the Environment,East Harlem,30.52
Asthma and the Environment,Upper West Side,28.68
Asthma and the Environment,Upper East Side,28.21
Asthma and the Environment,Chelsea - Clinton,25.62
Asthma and the Environment,Gramercy Park - Murray Hill,23.9
Asthma and the Environment,Greenwich Village - SoHo,27.87
Asthma and the Environment,Union Square - Lower East Side,28.38
Asthma and the Environment,Lower Manhattan,26.89
Asthma and the Environment,Long Island City - Astoria,33.01
Asthma and the Environment,West Queens,33.17
Asthma and the Environment,Flushing - Clearview,33.99
Asthma and the Environment,Bayside - Little Neck,33.51
Asthma and the Environment,Ridgewood - Forest Hills,33.32
Asthma and the Environment,Fresh Meadows,33.23
Asthma and the Environment,Southwest Queens,34.04
Asthma and the Environment,Jamaica,33.52
Asthma and the Environment,Southeast Queens,34.29
Asthma and the Environment,Rockaways,38.98
Asthma and the Environment,Port Richmond,32.74
Asthma and the Environment,Stapleton - St. George,34.3
Asthma and the Environment,Willowbrook,34.45
Asthma and the Environment,South Beach - Tottenville,36.53
Asthma and the Environment,Kingsbridge - Riverdale,31.24
Asthma and the Environment,Northeast Bronx,33.44
Asthma and the Environment,Fordham - Bronx Pk,32.08
Asthma and the Environment,Pelham - Throgs Neck,34.24
Asthma and the Environment,Crotona -Tremont,31.46
Asthma and the Environment,High Bridge - Morrisania,31.12
Asthma and the Environment,Hunts Point - Mott Haven,33.42
Asthma and the Environment,Greenpoint,31.61
Asthma and the Environment,Downtown - Heights - Slope,29.54
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,31.43
Asthma and the Environment,East New York,33.5
Asthma and the Environment,Sunset Park,31.5
Asthma and the Environment,Borough Park,32.7
Asthma and the Environment,East Flatbush - Flatbush,32.67
Asthma and the Environment,Canarsie - Flatlands,35.91
Asthma and the Environment,Bensonhurst - Bay Ridge,33.85
Asthma and the Environment,Coney Island - Sheepshead Bay,36.56
Asthma and the Environment,Williamsburg - Bushwick,31.54
Asthma and the Environment,Washington Heights,30.13
Asthma and the Environment,Central Harlem - Morningside Heights,29.4
Asthma and the Environment,East Harlem,30.25
Asthma and the Environment,Upper West Side,27.89
Asthma and the Environment,Upper East Side,27.52
Asthma and the Environment,Chelsea - Clinton,24.2
Asthma and the Environment,Gramercy Park - Murray Hill,22.59
Asthma and the Environment,Greenwich Village - SoHo,26.21
Asthma and the Environment,Union Square - Lower East Side,26.94
Asthma and the Environment,Lower Manhattan,25.07
Asthma and the Environment,Long Island City - Astoria,32.66
Asthma and the Environment,West Queens,33
Asthma and the Environment,Flushing - Clearview,33.92
Asthma and the Environment,Bayside - Little Neck,33.03
Asthma and the Environment,Ridgewood - Forest Hills,32.97
Asthma and the Environment,Fresh Meadows,32.93
Asthma and the Environment,Southwest Queens,33.63
Asthma and the Environment,Jamaica,32.95
Asthma and the Environment,Southeast Queens,33.59
Asthma and the Environment,Rockaways,39.03
Asthma and the Environment,Port Richmond,31.02
Asthma and the Environment,Stapleton - St. George,33.17
Asthma and the Environment,Willowbrook,33.13
Asthma and the Environment,South Beach - Tottenville,35.93
Asthma and the Environment,Kingsbridge - Riverdale,33.72
Asthma and the Environment,Northeast Bronx,35.09
Asthma and the Environment,Fordham - Bronx Pk,34.08
Asthma and the Environment,Pelham - Throgs Neck,35.44
Asthma and the Environment,Crotona -Tremont,33.42
Asthma and the Environment,High Bridge - Morrisania,33.23
Asthma and the Environment,Hunts Point - Mott Haven,34.98
Asthma and the Environment,Greenpoint,32.73
Asthma and the Environment,Downtown - Heights - Slope,30.66
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,32.12
Asthma and the Environment,East New York,33.97
Asthma and the Environment,Sunset Park,32.29
Asthma and the Environment,Borough Park,33.35
Asthma and the Environment,East Flatbush - Flatbush,33.38
Asthma and the Environment,Canarsie - Flatlands,36.6
Asthma and the Environment,Bensonhurst - Bay Ridge,34.28
Asthma and the Environment,Coney Island - Sheepshead Bay,37.08
Asthma and the Environment,Williamsburg - Bushwick,32.28
Asthma and the Environment,Washington Heights,32.66
Asthma and the Environment,Central Harlem - Morningside Heights,31.71
Asthma and the Environment,East Harlem,32.25
Asthma and the Environment,Upper West Side,30.17
Asthma and the Environment,Upper East Side,29.24
Asthma and the Environment,Chelsea - Clinton,26
Asthma and the Environment,Gramercy Park - Murray Hill,24.05
Asthma and the Environment,Greenwich Village - SoHo,27.85
Asthma and the Environment,Union Square - Lower East Side,28.41
Asthma and the Environment,Lower Manhattan,26.44
Asthma and the Environment,Long Island City - Astoria,33.91
Asthma and the Environment,West Queens,33.58
Asthma and the Environment,Flushing - Clearview,34.46
Asthma and the Environment,Bayside - Little Neck,33.84
Asthma and the Environment,Ridgewood - Forest Hills,33.3
Asthma and the Environment,Fresh Meadows,33.38
Asthma and the Environment,Southwest Queens,34.15
Asthma and the Environment,Jamaica,33.78
Asthma and the Environment,Southeast Queens,34.81
Asthma and the Environment,Rockaways,40.3
Asthma and the Environment,Port Richmond,31.06
Asthma and the Environment,Stapleton - St. George,33.14
Asthma and the Environment,Willowbrook,32.76
Asthma and the Environment,South Beach - Tottenville,35.27
Asthma and the Environment,Kingsbridge - Riverdale,30.37
Asthma and the Environment,Northeast Bronx,31.68
Asthma and the Environment,Fordham - Bronx Pk,30.79
Asthma and the Environment,Pelham - Throgs Neck,32.06
Asthma and the Environment,Crotona -Tremont,30.15
Asthma and the Environment,High Bridge - Morrisania,29.92
Asthma and the Environment,Hunts Point - Mott Haven,31.59
Asthma and the Environment,Greenpoint,29.77
Asthma and the Environment,Downtown - Heights - Slope,28.04
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,29.66
Asthma and the Environment,East New York,31.51
Asthma and the Environment,Sunset Park,29.67
Asthma and the Environment,Borough Park,30.61
