Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,East New York,5.1
Asthma and the Environment,Sunset Park,1.6
Asthma and the Environment,Borough Park,2.4
Asthma and the Environment,East Flatbush - Flatbush,1.4
Asthma and the Environment,Canarsie - Flatlands,9.6
Asthma and the Environment,Bensonhurst - Bay Ridge,4.4
Asthma and the Environment,Coney Island - Sheepshead Bay,3
Asthma and the Environment,Williamsburg - Bushwick,5.3
Asthma and the Environment,Washington Heights,4.5
Asthma and the Environment,Central Harlem - Morningside Heights,7.1
Asthma and the Environment,East Harlem,NA
Asthma and the Environment,Upper West Side,NA
Asthma and the Environment,Upper East Side,6.2
Asthma and the Environment,Chelsea - Clinton,NA
Asthma and the Environment,Gramercy Park - Murray Hill,6.2
Asthma and the Environment,Greenwich Village - SoHo,NA
Asthma and the Environment,Union Square - Lower East Side,1
Asthma and the Environment,Lower Manhattan,1
Asthma and the Environment,Long Island City - Astoria,NA
Asthma and the Environment,West Queens,4.7
Asthma and the Environment,Flushing - Clearview,NA
Asthma and the Environment,Bayside - Little Neck,6.2
Asthma and the Environment,Ridgewood - Forest Hills,4.9
Asthma and the Environment,Fresh Meadows,6.2
Asthma and the Environment,Southwest Queens,2.8
Asthma and the Environment,Jamaica,NA
Asthma and the Environment,Southeast Queens,NA
Asthma and the Environment,Rockaways,9.9
Asthma and the Environment,Port Richmond,6
Asthma and the Environment,Stapleton - St. George,6
Asthma and the Environment,Willowbrook,6.2
Asthma and the Environment,South Beach - Tottenville,6.2
Asthma and the Environment,Kingsbridge - Riverdale,NA
Asthma and the Environment,Northeast Bronx,5.6
Asthma and the Environment,Fordham - Bronx Pk,8.1
Asthma and the Environment,Pelham - Throgs Neck,7.2
Asthma and the Environment,Crotona -Tremont,7
Asthma and the Environment,High Bridge - Morrisania,7
Asthma and the Environment,Hunts Point - Mott Haven,7
Asthma and the Environment,Greenpoint,1.7
Asthma and the Environment,Downtown - Heights - Slope,4.3
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,7.5
Asthma and the Environment,East New York,3.6
Asthma and the Environment,Sunset Park,2.9
Asthma and the Environment,Borough Park,2.2
Asthma and the Environment,East Flatbush - Flatbush,4
Asthma and the Environment,Canarsie - Flatlands,3.8
Asthma and the Environment,Bensonhurst - Bay Ridge,2.2
Asthma and the Environment,Coney Island - Sheepshead Bay,2.5
Asthma and the Environment,Williamsburg - Bushwick,2.2
Asthma and the Environment,Washington Heights,7.2
Asthma and the Environment,Central Harlem - Morningside Heights,1.9
Asthma and the Environment,East Harlem,12.6
Asthma and the Environment,Upper West Side,1.1
Asthma and the Environment,Upper East Side,4.2
Asthma and the Environment,Chelsea - Clinton,3.7
Asthma and the Environment,Gramercy Park - Murray Hill,4.2
Asthma and the Environment,Greenwich Village - SoHo,3.7
Asthma and the Environment,Union Square - Lower East Side,5.1
Asthma and the Environment,Lower Manhattan,5.1
Asthma and the Environment,Long Island City - Astoria,5.4
Asthma and the Environment,West Queens,2.5
